"Source","Compare1","Compare2"
"ASTAR_COMET_Tonsil","ASTAR_COMET_Tonsil_CA20min","ASTAR_COMET_Tonsil_Tris20min"
"ASTAR_COMET_Tonsil","ASTAR_COMET_Tonsil_CA20min","ASTAR_COMET_Tonsil_Tris40min"
"ASTAR_COMET_Tonsil","ASTAR_COMET_Tonsil_Tris10min","ASTAR_COMET_Tonsil_Tris20min"
"ASTAR_COMET_Tonsil","ASTAR_COMET_Tonsil_Tris10min","ASTAR_COMET_Tonsil_Tris40min"
"ASTAR_COMET_Tonsil","ASTAR_COMET_Tonsil_Tris20min","ASTAR_COMET_Tonsil_Tris40min"
"Stanford_MIBI_Colon","Stanford_MIBI_Colon_2","Stanford_MIBI_Colon_3"
"Stanford_MIBI_Colon","Stanford_MIBI_Colon_2","Stanford_MIBI_Colon_4"
"Stanford_MIBI_Colon","Stanford_MIBI_Colon_2","Stanford_MIBI_Colon_5"
"Stanford_MIBI_Colon","Stanford_MIBI_Colon_3","Stanford_MIBI_Colon_4"
"Stanford_MIBI_Colon","Stanford_MIBI_Colon_3","Stanford_MIBI_Colon_5"
"Stanford_MIBI_Colon","Stanford_MIBI_Colon_4","Stanford_MIBI_Colon_5"
"Stanford_MIBI_Liver","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_3"
"Stanford_MIBI_Liver","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_4"
"Stanford_MIBI_Liver","Stanford_MIBI_Liver_2","Stanford_MIBI_Liver_5"
"Stanford_MIBI_Liver","Stanford_MIBI_Liver_3","Stanford_MIBI_Liver_4"
"Stanford_MIBI_Liver","Stanford_MIBI_Liver_3","Stanford_MIBI_Liver_5"
"Stanford_MIBI_Liver","Stanford_MIBI_Liver_4","Stanford_MIBI_Liver_5"
"Stanford_MIBI_LymphNode_Tile1","Stanford_MIBI_LymphNode_2_Tile1","Stanford_MIBI_LymphNode_3_Tile1"
"Stanford_MIBI_LymphNode_Tile1","Stanford_MIBI_LymphNode_2_Tile1","Stanford_MIBI_LymphNode_4_Tile1"
"Stanford_MIBI_LymphNode_Tile1","Stanford_MIBI_LymphNode_2_Tile1","Stanford_MIBI_LymphNode_5_Tile1"
"Stanford_MIBI_LymphNode_Tile1","Stanford_MIBI_LymphNode_3_Tile1","Stanford_MIBI_LymphNode_4_Tile1"
"Stanford_MIBI_LymphNode_Tile1","Stanford_MIBI_LymphNode_3_Tile1","Stanford_MIBI_LymphNode_5_Tile1"
